Word,Meaning (English),Meaning (Bahasa Indonesia),Part of Speech,Synonyms
Bottleneck,"A point of congestion or blockage in a system that slows down the entire process. In software, it'soften a piece of code or a service that can't handle the load.","Titik kemacetan atau penyumbatan dalam sebuah sistem yang memperlambat keseluruhan proses. Dalam perangkat lunak, ini sering kali berupa bagian kode atau layanan yang tidak dapat menangani beban.",noun,"choke point, congestion"
Legacy code,"Old source code that is no longer supported or is difficult to maintain, but is still in use. It's often inherited from a previous team or version of a project.","Kode sumber lama yang tidak lagi didukung atau sulit untuk dipelihara, tetapi masih digunakan. Seringkali diwarisi dari tim atau versi proyek sebelumnya.",phrase,"old code, inherited code"
Walkthrough,"A guided tour or demonstration of a product, feature, or piece of code, explaining it step-by-step.","Tur atau demonstrasi terpandu dari suatu produk, fitur, atau bagian kode, yang menjelaskannya langkah demi langkah.",noun,"demonstration, run-through"
Tweak,To make a small adjustment or fine-tune something to improve it.,Membuat penyesuaian kecil atau menyempurnakan sesuatu untuk memperbaikinya.,verb,"adjust, fine-tune"
Hard-coded,Describes a value or configuration that is fixed directly in the source code instead of being loaded from an external source (like a config file or a database).,Menjelaskan nilai atau konfigurasi yang ditetapkan secara langsung di dalam kode sumber alih-alih dimuat dari sumber eksternal (seperti file konfigurasi atau database).,adjective,"embedded, fixed"
Edge case,A problem or situation that occurs only at an extreme (maximum or minimum) operating parameter. A rare situation that code needs to handle gracefully.,Masalah atau situasi yang hanya terjadi pada parameter operasi yang ekstrem (maksimum atau minimum). Situasi langka yang harus ditangani oleh kode dengan baik.,phrase,"corner case, rare scenario"
Drill down,To move from summary information to more detailed data. To investigate something more thoroughly.,Beralih dari informasi ringkasan ke data yang lebih rinci. Menyelidiki sesuatu dengan lebih teliti.,phrase,"investigate further, dig deeper"
Red flag,"A sign that indicates a potential problem, danger, or issue that requires attention.","Tanda yang menunjukkan potensi masalah, bahaya, atau isu yang memerlukan perhatian.",phrase,"warning sign, alarm bell"
Quick win,A small and easy improvement that can be implemented quickly and provides a noticeable benefit.,Peningkatan kecil dan mudah yang dapat diimplementasikan dengan cepat dan memberikan manfaat yang nyata.,phrase,"low-hanging fruit, easy victory"
Heads-up,An advance notice or warning to give someone time to prepare for something.,Pemberitahuan atau peringatan di muka untuk memberi seseorang waktu untuk mempersiapkan sesuatu.,phrase,"advance notice, warning"
Bandwidth,A person's capacity to take on more work or handle more information.,Kapasitas seseorang untuk menerima pekerjaan tambahan atau menangani lebih banyak informasi.
Ping,To send a quick digital message to someone to get their attention or a quick response.,Mengirim pesan digital singkat kepada seseorang untuk mendapatkan perhatian atau respons cepat.
Sync up,"To meet with someone to coordinate, share information, and ensure everyone is on the same page.","Bertemu dengan seseorang untuk berkoordinasi, berbagi informasi, dan memastikan semua orang memiliki pemahaman yang sama."
Deep dive,To do an in-depth investigation or analysis of a specific topic or issue.,Melakukan investigasi atau analisis mendalam terhadap topik atau masalah tertentu.
On the fly,"To do something quickly, without much preparation, often in response to a situation as it happens.","Melakukan sesuatu dengan cepat, tanpa banyak persiapan, seringkali sebagai respons terhadap situasi yang sedang terjadi."
Blocker,An issue or problem that is completely preventing you from making progress on a task.,Sebuah masalah atau problem yang sepenuhnya menghalangi Anda untuk membuat kemajuan pada suatu tugas.
Refactor,"To restructure existing computer code—changing the factoring—without changing its external behavior. The goal is to improve readability, reduce complexity, and make it easier to maintain.","Mestruktur ulang kode komputer yang ada—mengubah pemfaktoran—tanpa mengubah perilaku eksternalnya. Tujuannya adalah untuk meningkatkan keterbacaan, mengurangi kompleksitas, dan membuatnya lebih mudah untuk dipelihara."
Scope creep,When the requirements or goals of a project expand and change from what was originally defined at the start.,Ketika persyaratan atau tujuan sebuah proyek meluas dan berubah dari apa yang semula ditetapkan di awal.
Workaround,A temporary and often imperfect solution to a problem. It's a way to get past a bug or issue so you can continue working.,Solusi sementara dan seringkali tidak sempurna untuk suatu masalah. Ini adalah cara untuk melewati bug atau masalah agar Anda dapat terus bekerja.
Sanity check,"A quick, basic test to see if a claim, a piece of code, or the result of a calculation can possibly be true. It helps catch obvious errors.","Tes dasar dan cepat untuk melihat apakah sebuah klaim, sepotong kode, atau hasil perhitungan mungkin benar. Ini membantu menangkap kesalahan yang jelas."
Alignment,"A state of agreement or cooperation among persons, groups, or nations with a common goal or viewpoint.","Keadaan kesepakatan atau kerjasama di antara orang, kelompok, atau bangsa dengan tujuan atau sudut pandang yang sama.",noun,"agreement,coordination"
Prioritize,To decide which of a group of things are the most important so that you can deal with them first.,Memutuskan mana dari sekelompok hal yang paling penting sehingga Anda dapat menanganinya terlebih dahulu.,verb,"rank,organize"
Hotfix,A critical bug fix that is urgently needed and is often released outside of the normal release cycle.,Perbaikan bug kritis yang sangat dibutuhkan dan seringkali dirilis di luar siklus rilis normal.,noun,"patch,emergency fix"
Rollback,"The action of restoring a system to a previous state, usually after a failed deployment or a critical issue.","Tindakan mengembalikan sistem ke keadaan sebelumnya, biasanya setelah penerapan yang gagal atau masalah kritis.",noun,"revert,undo"
Stand-up,"A short, daily team meeting where everyone briefly reports on their progress. The name comes from the practice of having everyone stand up to keep the meeting short.",Rapat tim harian yang singkat di mana setiap orang secara singkat melaporkan kemajuan mereka. Nama ini berasal dari praktik di mana semua orang berdiri untuk menjaga agar rapat tetap singkat.,noun,"daily scrum,daily huddle"
Code review,"A process where developers other than the code's author examine a piece of code. The main purpose is to find and fix mistakes, improve code quality, and share knowledge.","Sebuah proses di mana pengembang selain penulis kode memeriksa sepotong kode. Tujuan utamanya adalah untuk menemukan dan memperbaiki kesalahan, meningkatkan kualitas kode, dan berbagi pengetahuan.",noun,"peer review,code inspection"
Merge,"In version control, to combine changes from different branches into a single branch.","Dalam kontrol versi, untuk menggabungkan perubahan dari cabang yang berbeda ke dalam satu cabang tunggal.",verb,"integrate,combine"
Deadline,A specific time or date by which something must be finished.,Waktu atau tanggal tertentu di mana sesuatu harus diselesaikan.,noun,"due date,cutoff point"
Scope,The extent of the area or subject matter that something deals with or to which it is relevant.,Cakupan area atau pokok bahasan yang ditangani oleh sesuatu atau yang relevan dengannya.,noun,"range,extent"
